season,ID,trial,time,frame,x,y,ANGLE,speed,acceleration
winter,20201106-2,T2,0,0,171.1503,74.6893,-0.40960315,0,0
winter,20201106-2,T2,0.033333,1,171.14296,74.71287,-0.234235,0.7404842,22.214746
winter,20201106-2,T2,0.066666,2,171.138,74.76286,-0.36743334,1.5072056,23.882818
winter,20201106-2,T2,0.1,3,171.11952,74.85364,-0.49346995,2.7790682,38.66361
winter,20201106-2,T2,0.133333,4,171.13734,74.84189,-0.55218816,0.64059633,97.88605
winter,20201106-2,T2,0.166666,5,171.12012,74.84652,-0.5591795,0.5351887,34.826996
winter,20201106-2,T2,0.2,6,171.11035,74.80499,-0.27862114,1.2799503,42.08083
winter,20201106-2,T2,0.233333,7,171.02687,74.76925,-0.23703067,2.7240613,66.52971
winter,20201106-2,T2,0.266666,8,171.02928,74.692795,-0.2250809,2.2948196,85.54072
winter,20201106-2,T2,0.3,9,170.98547,74.64955,2.9699497,1.8466232,51.229725
winter,20201106-2,T2,0.333333,10,170.97595,74.61591,3.0412152,1.04886,32.041424
winter,20201106-2,T2,0.366666,11,171.00305,74.49297,-0.056998096,3.776917,86.87606
winter,20201106-2,T2,0.4,12,171.04376,74.36644,0.017168604,3.9876235,12.666323
winter,20201106-2,T2,0.433333,13,170.96138,74.081055,0.3161987,8.911104,180.86449
winter,20201106-2,T2,0.466666,14,171.0495,74.04352,0.43941662,2.8732235,270.74414
winter,20201106-2,T2,0.5,15,171.04599,73.92441,0.5065954,3.5748084,110.403534
winter,20201106-2,T2,0.533333,16,171.09956,73.859886,0.440862,2.5160046,71.09047
winter,20201106-2,T2,0.566666,17,170.99997,73.74074,0.54770344,4.6589003,146.36945
winter,20201106-2,T2,0.6,18,170.9034,73.72495,0.56640255,2.9353015,93.06673
winter,20201106-2,T2,0.633333,19,170.84242,73.66962,0.55105555,2.4705021,47.875854
winter,20201106-2,T2,0.666666,20,170.77017,73.6045,0.47897485,2.9179575,13.426472
winter,20201106-2,T2,0.7,21,170.7687,73.55709,0.5201697,1.4229292,65.67959
winter,20201106-2,T2,0.733333,22,170.66116,73.4842,0.44345796,3.8976588,98.20142
winter,20201106-2,T2,0.766666,23,170.6278,73.42535,0.47305354,2.0295668,67.955505
winter,20201106-2,T2,0.8,24,170.5996,73.301254,0.4144714,3.8176434,58.890427
winter,20201106-2,T2,0.833333,25,170.56267,73.3953,0.729513,3.0312662,196.4838
winter,20201106-2,T2,0.866666,26,170.49652,73.35704,0.7887124,2.2924662,121.95104
winter,20201106-2,T2,0.9,27,170.3722,73.29462,0.82920086,4.1736526,56.700455
