season,ID,trial,time,frame,x,y,ANGLE,speed,acceleration
winter,20240225-4,T1,0,0,72.959946,151.92061,-1.2072676,0,0
winter,20240225-4,T1,0.033333,1,72.955696,151.9125,-1.2060525,0.2745197,8.235674
winter,20240225-4,T1,0.066666,2,72.965096,151.92865,-1.1972998,0.5605779,25.047926
winter,20240225-4,T1,0.1,3,72.96887,151.90881,-1.2004821,0.60598105,32.7863
winter,20240225-4,T1,0.133333,4,72.882576,152.115,-1.3721576,6.7058363,218.99623
winter,20240225-4,T1,0.166666,5,72.87496,152.12065,-1.3341045,0.2842668,193.89407
winter,20240225-4,T1,0.2,6,72.846954,152.14856,-1.279552,1.1861812,27.174725
winter,20240225-4,T1,0.233333,7,72.88919,152.1705,-1.2252308,1.4278767,63.44879
winter,20240225-4,T1,0.266666,8,72.88919,152.1705,-1.2252308,0,42.836727
winter,20240225-4,T1,0.3,9,72.83308,152.27144,-1.4260395,3.4646187,103.936485
winter,20240225-4,T1,0.333333,10,72.82859,152.27551,-1.4249828,0.18169336,98.79246
winter,20240225-4,T1,0.366666,11,72.78455,152.96991,-1.3334339,20.873823,622.32214
winter,20240225-4,T1,0.4,12,72.78881,152.95934,-1.3466669,0.3419631,635.9515
winter,20240225-4,T1,0.433333,13,72.81839,153.49672,-1.3956733,16.146101,493.7005
winter,20240225-4,T1,0.466666,14,72.81384,153.50697,1.7235025,0.33651137,475.42096
winter,20240225-4,T1,0.5,15,72.81234,153.5032,1.7186052,0.12157676,12.910313
winter,20240225-4,T1,0.533333,16,72.76716,153.95314,1.613793,13.566361,410.23425
winter,20240225-4,T1,0.566666,17,72.787796,153.90724,1.6002252,1.5099735,450.18976
winter,20240225-4,T1,0.6,18,72.82142,154.74721,2.0100636,25.218609,797.3391
winter,20240225-4,T1,0.633333,19,72.822174,154.74796,1.98141,0.03184675,755.86206
winter,20240225-4,T1,0.666666,20,72.82735,154.7854,1.9025463,1.1340742,33.26409
winter,20240225-4,T1,0.7,21,72.846,154.76373,1.8766195,0.8577611,54.56953
winter,20240225-4,T1,0.733333,22,72.822075,154.77185,1.9846228,0.7579957,46.768833
winter,20240225-4,T1,0.766666,23,73.912,156.75974,-2.4620898,68.01304,2044.4785
winter,20240225-4,T1,0.8,24,73.90819,156.74321,-2.435768,0.5088338,2055.0469
winter,20240225-4,T1,0.833333,25,73.86974,156.72522,-2.431233,1.2736136,31.201447
winter,20240225-4,T1,0.866666,26,74.783615,157.6354,-2.7078831,38.694847,1196.8765
winter,20240225-4,T1,0.9,27,74.783615,157.6354,-2.7078831,0,1160.8224
winter,20240225-4,T1,0.933333,28,75.45431,158.33978,0.5511796,29.178629,875.3676
winter,20240225-4,T1,0.966666,29,75.44901,158.35574,0.5501851,0.50430304,868.35913
winter,20240225-4,T1,1,30,76.43847,159.61238,-2.4650073,47.98194,1431.1537
winter,20240225-4,T1,1.033333,31,76.46093,159.61165,-2.4278352,0.6741814,1427.5797
winter,20240225-4,T1,1.066666,32,76.44824,159.61256,-2.3969321,0.38172486,31.671888
winter,20240225-4,T1,1.1,33,76.904335,160.41469,0.9640162,27.681227,835.4147
