ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
winter,20240223-1,T1,1.933333,58.0,88.655495,157.31102,-2.823526,0.5385525,15.175221
winter,20240223-1,T1,1.966666,59.0,88.659065,157.32657,-2.8405101,0.47889113,6.0737214
winter,20240223-1,T1,2.0,60.0,88.69735,157.2496,-2.8051424,2.5790105,88.94443
winter,20240223-1,T1,2.033333,61.0,88.68339,157.25525,-2.7795908,0.45187262,87.978966
winter,20240223-1,T1,2.066666,62.0,88.67016,157.2581,-2.7968178,0.4059777,2.6022415
winter,20240223-1,T1,2.1,63.0,88.71916,157.2021,-2.8286014,2.2322385,77.08004
winter,20240223-1,T1,2.133333,64.0,88.87782,157.28969,-3.072516,5.437079,162.60857
winter,20240223-1,T1,2.166666,65.0,88.88756,157.27548,-3.036086,0.516399,162.35333
winter,20240223-1,T1,2.2,66.0,89.71585,157.90651,1.4097085,31.23781,938.01807
winter,20240223-1,T1,2.233333,67.0,89.73024,157.92549,1.4590874,0.7145385,916.5094
winter,20240223-1,T1,2.266666,68.0,89.73024,157.92549,1.4590874,0.0,21.436369
winter,20240223-1,T1,2.3,69.0,90.09717,158.53397,2.2322204,21.316097,639.47015
winter,20240223-1,T1,2.333333,70.0,90.374504,159.63333,1.807117,34.01444,449.11978
winter,20240223-1,T1,2.366666,71.0,90.36262,159.62482,1.9156364,0.4385989,1030.5253
winter,20240223-1,T1,2.4,72.0,90.56266,163.96394,1.4629172,130.30922,3917.3596
winter,20240223-1,T1,2.433333,73.0,90.56266,163.96394,1.4629172,0.0,3909.316
winter,20240223-1,T1,2.466666,74.0,90.56294,163.93533,1.4559585,0.85831773,25.749788
winter,20240223-1,T1,2.5,75.0,90.68181,165.51363,1.4037561,47.481888,1450.0856
winter,20240223-1,T1,2.533333,76.0,90.666595,165.5107,1.3971022,0.46463767,1428.1846
winter,20240223-1,T1,2.566666,77.0,90.94353,167.53906,1.4375383,61.41597,1847.002
winter,20240223-1,T1,2.6,78.0,91.97938,173.8486,1.4763103,191.81645,3912.9263
winter,20240223-1,T1,2.633333,79.0,91.976295,173.83728,1.4858735,0.35222977,5765.062
winter,20240223-1,T1,2.666666,80.0,91.97129,173.84918,1.4790276,0.38731736,20.979692
winter,20240223-1,T1,2.7,81.0,92.014465,176.16243,-1.6581866,69.40817,2071.5828
winter,20240223-1,T1,2.733333,82.0,91.94439,180.85248,-1.676412,140.71841,2141.6472
winter,20240223-1,T1,2.766666,83.0,91.94964,180.84961,-1.6868135,0.17952769,4224.249
winter,20240223-1,T1,2.8,84.0,91.95562,180.84297,-1.6774265,0.2678633,3.4500809
winter,20240223-1,T1,2.833333,85.0,91.95562,180.84297,-1.6774265,0.0,8.035979
winter,20240223-1,T1,2.866666,86.0,91.25756,185.96454,-1.435979,155.06895,4652.1157
winter,20240223-1,T1,2.9,87.0,90.95386,190.35208,-1.4984988,131.93892,750.01465
winter,20240223-1,T1,2.933333,88.0,90.9611,190.37978,-1.4175727,0.858784,3933.7993
winter,20240223-1,T1,2.966666,89.0,91.28545,191.85234,1.4974267,45.236427,1331.3627
winter,20240223-1,T1,3.0,90.0,91.28238,191.84952,1.5111922,0.12539637,1360.152
winter,20240223-1,T1,3.033333,91.0,92.012375,194.77142,1.2291808,90.352356,2713.7422
winter,20240223-1,T1,3.066666,92.0,92.01968,194.77786,1.2274035,0.29184896,2703.3918
winter,20240223-1,T1,3.1,93.0,92.58437,196.23636,-2.0167904,46.91911,1399.7794
winter,20240223-1,T1,3.133333,94.0,93.42886,197.96846,-2.1194818,57.810867,352.2493
winter,20240223-1,T1,3.166666,95.0,94.50671,199.97002,1.0833064,68.200386,320.81406
winter,20240223-1,T1,3.2,96.0,94.53095,200.02869,1.0961663,1.9044081,1989.1458
winter,20240223-1,T1,3.233333,97.0,96.62289,203.93877,-2.0024478,133.03662,3934.292
winter,20240223-1,T1,3.266666,98.0,96.61334,203.94354,-2.0016272,0.32010058,3991.4192
winter,20240223-1,T1,3.3,99.0,97.65232,205.74298,-1.9789419,62.3342,1870.5927
