ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel,unique_trial_ID
20201101-1,winter,T5,66.508832,76.388128,112.376992,28.755808,160.362144,75.506048,113.78832,122.079872,132.841248,37.92944,0.176416,winter_20201101-1_T5
20201101-1,winter,T6,66.508832,76.564544,113.611904,28.402976,160.362144,75.506048,113.435488,122.079872,134.42719,39.551388,0.176416,winter_20201101-1_T6
20201101-1,winter,T7,66.508832,76.035296,112.553408,28.755808,159.480064,75.153216,113.78832,121.374208,132.312,35.812448,0.176416,winter_20201101-1_T7
20201101-1,winter,T8,66.685248,76.388128,113.259072,28.755808,160.362144,75.329632,114.141152,122.079872,133.16531,37.556473,0.176416,winter_20201101-1_T8
20201101-1,winter,T9,65.979584,75.85888,112.200576,28.22656,159.127232,76.211712,114.317568,121.021376,131.12277,49.675697,0.176416,winter_20201101-1_T9
20201101-1,winter,T10,66.508832,76.564544,113.78832,28.402976,160.53856,75.682464,114.141152,122.432704,134.252576,35.988864,0.176416,winter_20201101-1_T10
20201101-3,winter,T1,57.511616,73.741888,112.02416,17.465184,167.065952,71.977728,113.611904,127.01952,135.134656,28.22656,0.176416,winter_20201101-3_T1
20201101-3,winter,T2,58.570112,73.741888,113.435488,17.994432,166.889536,72.33056,113.611904,126.666688,136.369568,29.285056,0.176416,winter_20201101-3_T2
20201101-3,winter,T3,58.21728,73.21264,111.847744,17.818016,166.71312,72.683392,113.78832,126.666688,137.60448,28.932224,0.176416,winter_20201101-3_T3
20201101-3,winter,T4,58.21728,73.036224,112.553408,17.994432,167.065952,72.506976,113.435488,125.961024,134.95824,28.402976,0.176416,winter_20201101-3_T4
20201101-3,winter,T5,58.570112,73.565472,112.90624,18.347264,167.418784,72.859808,113.964736,127.01952,137.428064,25.227488,0.176416,winter_20201101-3_T5
20201101-3,winter,T6,58.746528,73.565472,112.90624,17.994432,167.771616,72.154144,113.78832,126.313856,138.133728,26.991648,0.176416,winter_20201101-3_T6
20201101-3,winter,T7,58.393696,73.389056,112.376992,17.6416,167.242368,71.801312,113.78832,125.961024,136.545984,27.873728,0.176416,winter_20201101-3_T7
20201101-3,winter,T8,58.040864,73.741888,112.553408,18.347264,166.889536,72.683392,113.082656,126.843104,136.898816,28.402976,0.176416,winter_20201101-3_T8
20201101-3,winter,T9,58.393696,73.389056,111.847744,17.818016,167.065952,72.154144,113.611904,126.490272,134.428992,26.638816,0.176416,winter_20201101-3_T9
20201101-3,winter,T10,58.570112,74.447552,113.082656,18.170848,167.5952,72.33056,113.78832,127.01952,139.545056,26.109568,0.176416,winter_20201101-3_T10
20201103-1,winter,T1,62.274848,74.447552,116.43456,18.347264,169.712192,73.565472,116.610976,126.843104,140.779968,27.34448,0.176416,winter_20201103-1_T1
20201103-1,winter,T2,62.451264,73.389056,117.493056,18.700096,170.594272,73.21264,117.140224,127.725184,141.309216,26.285984,0.176416,winter_20201103-1_T2
20201103-1,winter,T3,61.569184,73.036224,116.43456,18.170848,169.712192,73.21264,116.963808,126.490272,140.25072,30.167136,0.176416,winter_20201103-1_T3
20201103-1,winter,T4,61.922016,72.859808,116.258144,17.994432,170.24144,73.565472,116.787392,126.490272,137.780896,27.168064,0.176416,winter_20201103-1_T4
20201103-1,winter,T5,62.098432,73.21264,116.610976,19.052928,170.594272,73.389056,116.787392,127.01952,138.662976,29.99072,0.176416,winter_20201103-1_T5
20201103-1,winter,T6,62.098432,73.565472,117.140224,18.52368,170.417856,73.741888,116.258144,127.195936,141.1328,30.167136,0.176416,winter_20201103-1_T6
20201103-1,winter,T7,62.274848,73.565472,117.845888,18.347264,170.594272,73.21264,116.610976,126.490272,138.839392,28.932224,0.176416,winter_20201103-1_T7
20201103-1,winter,T8,62.274848,72.859808,116.610976,18.876512,170.417856,73.389056,117.140224,127.548768,137.780896,28.755808,0.176416,winter_20201103-1_T8
20201103-1,winter,T9,62.274848,72.859808,117.493056,18.52368,170.417856,72.859808,116.43456,126.313856,138.133728,28.22656,0.176416,winter_20201103-1_T9
20201103-1,winter,T10,62.274848,73.389056,117.140224,18.347264,170.24144,73.036224,116.963808,126.666688,139.015808,26.4624,0.176416,winter_20201103-1_T10
20201103-2,winter,T1,56.805952,71.977728,110.965664,16.935936,164.772544,72.506976,111.671328,125.078944,134.781824,26.4624,0.176416,winter_20201103-2_T1
20201103-2,winter,T2,57.511616,72.154144,112.376992,17.288768,165.654624,72.154144,111.847744,125.784608,134.07616,27.168064,0.176416,winter_20201103-2_T2
20201103-2,winter,T3,56.805952,71.624896,110.965664,17.465184,165.125376,72.506976,111.494912,125.608192,133.19408,27.520896,0.176416,winter_20201103-2_T3
20201103-2,winter,T4,57.3352,71.801312,111.671328,17.112352,164.94896,72.154144,111.494912,124.902528,135.134656,26.815232,0.176416,winter_20201103-2_T4
20201103-2,winter,T5,56.805952,71.977728,110.083584,17.465184,165.125376,72.154144,112.02416,125.961024,135.311072,27.873728,0.176416,winter_20201103-2_T5
20201103-2,winter,T6,57.158784,71.801312,112.729824,17.112352,165.301792,71.801312,112.02416,124.902528,134.605408,25.933152,0.176416,winter_20201103-2_T6
